Date,High,Low,Open,Close,Volume,Adj Close
2018-11-30,180.3300018310547,177.02999877929688,180.2899932861328,178.5800018310547,39531500,178.5800018310547
2018-12-03,184.94000244140625,181.2100067138672,184.4600067138672,184.82000732421875,40802500,184.82000732421875
2018-12-04,182.38999938964844,176.27000427246094,180.9499969482422,176.69000244140625,41344300,176.69000244140625
2018-12-06,174.77999877929688,170.4199981689453,171.75999450683594,174.72000122070312,43098400,174.72000122070312
2018-12-07,174.49000549316406,168.3000030517578,173.49000549316406,168.49000549316406,42281600,168.49000549316406
2018-12-10,170.08999633789062,163.3300018310547,165.0,169.60000610351562,62026000,169.60000610351562
2018-12-11,171.7899932861328,167.0,171.66000366210938,168.6300048828125,47281700,168.6300048828125
2018-12-12,171.9199981689453,169.02000427246094,170.39999389648438,169.10000610351562,35627700,169.10000610351562
2018-12-13,172.57000732421875,169.5500030517578,170.49000549316406,170.9499969482422,31898600,170.9499969482422
2018-12-14,169.0800018310547,165.27999877929688,169.0,165.47999572753906,40703700,165.47999572753906
2018-12-17,168.35000610351562,162.72999572753906,165.4499969482422,163.94000244140625,44287900,163.94000244140625
2018-12-18,167.52999877929688,164.38999938964844,165.3800048828125,166.07000732421875,33841500,166.07000732421875
2018-12-19,167.4499969482422,159.08999633789062,166.0,160.88999938964844,49047300,160.88999938964844
2018-12-20,162.11000061035156,155.3000030517578,160.39999389648438,156.8300018310547,64773000,156.8300018310547
2018-12-21,158.16000366210938,149.6300048828125,156.86000061035156,150.72999572753906,95744600,150.72999572753906
2018-12-24,151.5500030517578,146.58999633789062,148.14999389648438,146.8300018310547,37169200,146.8300018310547
2018-12-26,157.22999572753906,146.72000122070312,148.3000030517578,157.1699981689453,58582500,157.1699981689453
2018-12-27,156.77000427246094,150.07000732421875,155.83999633789062,156.14999389648438,53117100,156.14999389648438
2018-12-28,158.52000427246094,154.5500030517578,157.5,156.22999572753906,42291400,156.22999572753906
2018-12-31,159.36000061035156,156.47999572753906,158.52999877929688,157.74000549316406,35003500,157.74000549316406
2019-01-02,158.85000610351562,154.22999572753906,154.88999938964844,157.9199981689453,37039700,157.9199981689453
2019-01-03,145.72000122070312,142.0,143.97999572753906,142.19000244140625,91312200,142.19000244140625
2019-01-04,148.5500030517578,143.8000030517578,144.52999877929688,148.25999450683594,58565100,148.25999450683594
